Instituicao	Programa	Nivel	Sigla	TemDoutorado	Nome	AreadeAvaliacao
UNIVERSIDADE FEDERAL DO AMAZONAS	12001015012P2	5	UFAM-I-5	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO CEARA	22001018031P5	5	UFC-CC-5	SIM	CIENCIAS DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE DE FORTALEZA	22002014002P1	4	UNIFOR-IA-4	SIM	INFORMATICA APLICADA	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	23001011022P9	5	UFRN-SC-5	SIM	SISTEMAS E COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE	24009016005P0	4	UFCG-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE PERNAMBUCO	25001019004P6	7	UFPE-CC-7	SIM	CIENCIAS DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO	30001013007P0	4	UFES-I-4	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017004P3	7	UFRJ-ESC-7	SIM	ENGENHARIA DE SISTEMAS E COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	31001017110P8	4	UFRJ-I-4	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL FLUMINENSE	31003010046P4	6	UFF-C-6	SIM	COMPUTACAO	CIENCIA DA COMPUTACAO
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	31005012004P9	7	PUC-RIO-I-7	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
INSTITUTO MILITAR DE ENGENHARIA	31007015009P3	3	IME-SC-3	NAO	SISTEMAS E COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE MINAS GERAIS	32001010004P6	7	UFMG-CC-7	SIM	CIENCIAS DA COMPUTACAO	CIENCIA DA COMPUTACAO
