Ano	Autor	CodigodoPPG	Idioma	Orientador
2019	GUILHERME RESENDE BORGES	32001010004P6	INGLES	PEDRO OLMO STANCIOLI VAZ DE MELO
2018	LUIS EDUARDO DE SOUZA SANTOS	27001016029P4	PORTUGUES	MICHEL DOS SANTOS SOARES
2019	RICARDO TULIO GANDELMAN	31021018009P9	PORTUGUES	SIDNEY CUNHA DE LUCENA
2019	ANDRE REIS DE BRITO	31001017004P3	PORTUGUES	TOACY CAVALCANTE DE OLIVEIRA
2020	AQUISSON THEYLLON GOMES DA SILVA	33002045004P1	PORTUGUES	ANTONIO CASTELO FILHO
2018	WESLEY DE SOUZA BEZERRA	33002045004P1	PORTUGUES	ANTONIO CASTELO FILHO
2019	VANESSA BARBOSA ROLIM	41002016023P2	PORTUGUES	FABIANO BALDO
2017	ROBSON WAGNER ALBUQUERQUE DE MEDEIROS	25001019004P6	INGLES	NELSON SOUTO ROSA
2019	BRUNO CAMPOS DE AZEVEDO	25001019004P6	PORTUGUES	RUY JOSE GUERRA BARRETTO DE QUEIROZ
2019	MANOELA DOS REIS OLIVEIRA	27001016029P4	PORTUGUES	MICHEL DOS SANTOS SOARES
2018	FERNANDO LUIS BORDIGNON	41001010025P2	PORTUGUES	MAURO ROISENBERG
2020	TATIANE GOMES GUIMARAES	32001010004P6	INGLES	RAQUEL OLIVEIRA PRATES
2017	JOYCE MEIRE DA SILVA FRANCA	32006012017P2	PORTUGUES	MICHEL DOS SANTOS SOARES
2020	FABIO PEDROTTI TERRA	42004012022P1	PORTUGUES	PAULO LILLES JORGE DREWS JUNIOR
2018	ROGER SANTOS FERREIRA	32004010027P9	PORTUGUES	DENILSON ALVES PEREIRA
2019	LEANDRO NEGRI ZANOTTO	33003017005P8	INGLES	GUIDO COSTA SOUZA DE ARAUJO
2020	LIVIA CAROLINA GOUVEA DE FARIA	31021018009P9	PORTUGUES	ANA CRISTINA BICHARRA GARCIA
2017	MIGUEL ANGEL ROJAS MEZA	33002045004P1	PORTUGUES	JOSE ALBERTO CUMINATO
2018	JOSE HENRIQUE DEBASTIANI ANDREIS	42009014011P1	INGLES	CLYDE WILLIAM FRAISSE
2018	ARIANE NUNES RODRIGUES	25001019004P6	PORTUGUES	SIMONE CRISTIANE DOS SANTOS LIMA
2018	EDUARDO SMIL PRUTCHI	31003010046P4	PORTUGUES	LEONARDO GRESTA PAULINO MURTA
2018	LUCAS CHESINI OKIMOTO	33009015079P0	INGLES	ANA CAROLINA LORENA
2018	TIAGO ANTONIO PARAIZO	32004010027P9	PORTUGUES	DENILSON ALVES PEREIRA
2017	DIVINO CESAR SOARES LUCAS	33003017005P8	INGLES	GUIDO COSTA SOUZA DE ARAUJO
2018	YORAN EDSON LEICHSENRING	41002016023P2	PORTUGUES	FABIANO BALDO
2019	JULLIANO ROSA NASCIMENTO	51001012028P6	PORTUGUES	DIANE CASTONGUAY
2018	GABRIEL DA SILVA VIEIRA	52001016027P2	PORTUGUES	FABRIZZIO ALPHONSUS ALVES DE MELO NUNES SOARES
2019	VINICIUS MATOS DA SILVEIRA FRAGA	25001019004P6	INGLES	DJAMEL FAWZI HADJ SADOK
2020	CAMIL SAMER ZAHLAN REDWAN	42001013004P4	PORTUGUES	ANA LUCIA CETERTICH BAZZAN
2019	DEIVISTON DA SILVA AGUENA	51001012028P6	PORTUGUES	NALVO FRANCO DE ALMEIDA JUNIOR
2018	MATHEUS FRANTZ DE FARIA	42004012022P1	PORTUGUES	PAULO LILLES JORGE DREWS JUNIOR
2018	EDMILSON BARBALHO CAMPOS NETO	23001011022P9	PORTUGUES	UIRA KULESZA
2020	LUIS FERNANDO ANTONIOLI	33003017005P8	INGLES	RODOLFO JARDIM DE AZEVEDO
2018	LUCIANA BULGARELLI CARVALHO	33003017005P8	PORTUGUES	GUIDO COSTA SOUZA DE ARAUJO
2017	ANA PAULA CARVALHO CAVALCANTI FURTADO	25001019004P6	PORTUGUES	SILVIO ROMERO DE LEMOS MEIRA
2017	LEO MOREIRA SILVA	23001011022P9	PORTUGUES	UIRA KULESZA
2017	MATHEUS ALVES	42001013004P4	PORTUGUES	ANA LUCIA CETERTICH BAZZAN
2018	ALTAIR BRANDAO MENDES	23001011022P9	PORTUGUES	THAIS VASCONCELOS BATISTA
2017	MARCILIO OLINTO DE OLIVEIRA LEMOS	24001015047P4	PORTUGUES	IGUATEMI EDUARDO DA FONSECA
2020	GUILHERME MARTINS	33002045004P1	PORTUGUES	PAULO SERGIO LOPES DE SOUZA
2019	DERIKS KARLAY DIAS COSTA	15001016092P4	PORTUGUES	EWERTON RAMOS GRANHEN
2017	HEMIR DA CUNHA SANTIAGO	25001019004P6	PORTUGUES	TSANG ING REN
